Mary
Wartono
Kristina
Zara
Lidia
Darius
Jane
Antonius
Diana
Kris
Iskandar
Florens
Nikodemus
Christ
Leonard
Novita
Carolus
Nus
Ivan
Jacobus
Quintinus
Elisa
Joice
Emmanuel
Lukas
Zainab
Petrus
Eve
Marius
Quintus
Maurits
Paulus
Indra
Umar
Hana
Xaverius
Irena
Denny
Ruth
Agnes
Jeremiah
Ferdinand
Augustinus
Isaac
Vanessa
Jose
Heliana
Natalia
Jacob
Zulfa
Robertus
Teddy
Luke
Delima
Ferry
Octavia
Susanna
Gabriel
Hendra
Julia
Alex
Josef
Renata
Aaron
Veronika
Mariana
Naomi
Vincentius
Cornelius
Magdalena
Andreas
Etika
Benjamin
Theodora
Imelda
Hani
Xavier
Clara
Joseph
Gunawan
Quinten
Sarah
Zachariah
Yohanes
Ester
Theresia
Niko
Thomas
Suzan
Winda
Bertha
Noah
Bernardus
Caleb
Rachel
Emilia
Angelique
Gregorius
Bernadette
Martinus
Elizabeth
Isaiah
David
Maria
Yuni
Jusuf
Uriah
Rafael
Miriam
Zebulun
Laurentius
Edith
Esther
Joshua
Alvin
Timothy
Karmel
Armand
Joel
Agustinus
Bimo
Gideon
Lorens
Ignatius
Monica
Judith
Lisa
Katharina
Yos
Brigitta
Melinda
Cindy
Fabian
Yosua
Solomon
Fransiskus
Tommy
Nathan
Yolanda
Lucia
Matthew
Grace
Adam
Hannah
Franciska
Leticia
Ursula
Priscilla
Zephaniah
Daniel
Ronald
Xenia
Endah
Markus
Oktavianus
Vera
Philipus
Wenny
Julius
Karmen
Rosalina
Willy
Margareta
Samuel
Leah
Feliks
Herlina
Ezekiel
James
Philip
Tobias
Jozua
Henny
Abigail
Nehemiah
Hendrik
George
Kristoforus
Janice
Jonah
Qonita
Gerry
Agatha
Peter
Jessica
Dominikus
Stephen
Stefanus
Christina
Jason
Andre
Elisabeth
Anastasia
Martha
Bobby
Simon
Matius
Joanna
Yunita
Rebecca
Katarina
Angelina
Deborah
Tania
Olivia
Paula
Gerda
Vania
Stella
Leni
John
Johannes
Hendrikus
Peni
Albert
Hermina
Paul
Felicia
Frans
Dina
Lydia
Irawan
Angela
Zefanya
Moses
Michael
Mathilda
Jakobus
Gita
Laura
Evan
Gabriella
Edwin
Benyamin
Filipus
Zakaria
Yobel
Merry
