kec_code,provinsi,kabkota,kecamatan,code,desa
11.01.01,ACEH,KAB. ACEH SELATAN,Bakongan,7,7
11.01.02,ACEH,KAB. ACEH SELATAN,Kluet Utara,21,21
11.01.03,ACEH,KAB. ACEH SELATAN,Kluet Selatan,17,17
11.01.04,ACEH,KAB. ACEH SELATAN,Labuhan Haji,16,16
11.01.05,ACEH,KAB. ACEH SELATAN,Meukek,23,23
11.01.06,ACEH,KAB. ACEH SELATAN,Samadua,28,28
11.01.07,ACEH,KAB. ACEH SELATAN,Sawang,15,15
11.01.08,ACEH,KAB. ACEH SELATAN,Tapaktuan,16,16
11.01.09,ACEH,KAB. ACEH SELATAN,Trumon,12,12
11.01.10,ACEH,KAB. ACEH SELATAN,Pasi Raja,21,21
11.01.11,ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,12,12
11.01.12,ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,15,15
11.01.13,ACEH,KAB. ACEH SELATAN,Kluet Tengah,13,13
11.01.14,ACEH,KAB. ACEH SELATAN,Kluet Timur,9,9
11.01.15,ACEH,KAB. ACEH SELATAN,Bakongan Timur,7,7
11.01.16,ACEH,KAB. ACEH SELATAN,Trumon Timur,8,8
11.01.17,ACEH,KAB. ACEH SELATAN,Kota Bahagia,10,10
11.01.18,ACEH,KAB. ACEH SELATAN,Trumon Tengah,10,10
11.02.01,ACEH,KAB. ACEH TENGGARA,Lawe Alas,28,28
11.02.02,ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,35,35
11.02.03,ACEH,KAB. ACEH TENGGARA,Bambel,33,33
11.02.04,ACEH,KAB. ACEH TENGGARA,Babussalam,27,27
11.02.05,ACEH,KAB. ACEH TENGGARA,Badar,18,18
11.02.06,ACEH,KAB. ACEH TENGGARA,Babul Makmur,21,21
11.02.07,ACEH,KAB. ACEH TENGGARA,Darul Hasanah,28,28
11.02.08,ACEH,KAB. ACEH TENGGARA,Lawe Bulan,24,24
11.02.09,ACEH,KAB. ACEH TENGGARA,Bukit Tusam,23,23
11.02.10,ACEH,KAB. ACEH TENGGARA,Semadam,19,19
11.02.11,ACEH,KAB. ACEH TENGGARA,Babul Rahmah,27,27
11.02.12,ACEH,KAB. ACEH TENGGARA,Ketambe,25,25
11.02.13,ACEH,KAB. ACEH TENGGARA,Deleng Pokhkisen,22,22
11.02.14,ACEH,KAB. ACEH TENGGARA,Lawe Sumur,18,18
11.02.15,ACEH,KAB. ACEH TENGGARA,Tanoh Alas,14,14
11.02.16,ACEH,KAB. ACEH TENGGARA,Leuser,23,23
11.03.01,ACEH,KAB. ACEH TIMUR,Darul Aman,45,45
11.03.02,ACEH,KAB. ACEH TIMUR,Julok,37,37
11.03.03,ACEH,KAB. ACEH TIMUR,Idi Rayeuk,35,35
11.03.04,ACEH,KAB. ACEH TIMUR,Birem Bayeun,27,27
11.03.05,ACEH,KAB. ACEH TIMUR,Serbajadi,17,17
11.03.06,ACEH,KAB. ACEH TIMUR,Nurussalam,31,31
11.03.07,ACEH,KAB. ACEH TIMUR,Peureulak,38,38
11.03.08,ACEH,KAB. ACEH TIMUR,Rantau Selamat,14,14
11.03.09,ACEH,KAB. ACEH TIMUR,Simpang Ulim,23,23
11.03.10,ACEH,KAB. ACEH TIMUR,Rantau Peureulak,23,23
11.03.11,ACEH,KAB. ACEH TIMUR,Pante Bidari,25,25
11.03.12,ACEH,KAB. ACEH TIMUR,Madat,26,26
11.03.13,ACEH,KAB. ACEH TIMUR,Indra Makmu,13,13
11.03.14,ACEH,KAB. ACEH TIMUR,Idi Tunong,25,25
11.03.15,ACEH,KAB. ACEH TIMUR,Banda Alam,16,16
11.03.16,ACEH,KAB. ACEH TIMUR,Peudawa,17,17
11.03.17,ACEH,KAB. ACEH TIMUR,Peureulak Timur,20,20
11.03.18,ACEH,KAB. ACEH TIMUR,Peureulak Barat,15,15
11.03.19,ACEH,KAB. ACEH TIMUR,Sungai Raya,13,13
11.03.20,ACEH,KAB. ACEH TIMUR,Simpang Jernih,8,8
11.03.21,ACEH,KAB. ACEH TIMUR,Darul Ihsan,16,16
11.03.22,ACEH,KAB. ACEH TIMUR,Darul Falah,11,11
11.03.23,ACEH,KAB. ACEH TIMUR,Idi Timur,13,13
11.03.24,ACEH,KAB. ACEH TIMUR,Peunaron,5,5
11.04.01,ACEH,KAB. ACEH TENGAH,Linge,26,26
11.04.02,ACEH,KAB. ACEH TENGAH,Silih Nara,33,33
11.04.03,ACEH,KAB. ACEH TENGAH,Bebesen,28,28
11.04.07,ACEH,KAB. ACEH TENGAH,Pegasing,31,31
11.04.08,ACEH,KAB. ACEH TENGAH,Bintang,24,24
11.04.10,ACEH,KAB. ACEH TENGAH,Ketol,25,25
11.04.11,ACEH,KAB. ACEH TENGAH,Kebayakan,20,20
11.04.12,ACEH,KAB. ACEH TENGAH,Kute Panang,24,24
11.04.13,ACEH,KAB. ACEH TENGAH,Celala,17,17
11.04.17,ACEH,KAB. ACEH TENGAH,Laut Tawar,18,18
11.04.18,ACEH,KAB. ACEH TENGAH,Atu Lintang,11,11
11.04.19,ACEH,KAB. ACEH TENGAH,Jagong Jeget,10,10
11.04.20,ACEH,KAB. ACEH TENGAH,Bies,12,12
11.04.21,ACEH,KAB. ACEH TENGAH,Rusip Antara,16,16
11.05.01,ACEH,KAB. ACEH BARAT,Johan Pahwalan,21,21
11.05.02,ACEH,KAB. ACEH BARAT,Kaway XVI,44,44
11.05.03,ACEH,KAB. ACEH BARAT,Sungai Mas,18,18
11.05.04,ACEH,KAB. ACEH BARAT,Woyla,43,43
11.05.05,ACEH,KAB. ACEH BARAT,Samatiga,32,32
11.05.06,ACEH,KAB. ACEH BARAT,Bubon,17,17
11.05.07,ACEH,KAB. ACEH BARAT,Arongan Lambalek,27,27
11.05.08,ACEH,KAB. ACEH BARAT,Pante Ceureumen,25,25
11.05.09,ACEH,KAB. ACEH BARAT,Meureubo,26,26
11.05.10,ACEH,KAB. ACEH BARAT,Woyla Barat,24,24
11.05.11,ACEH,KAB. ACEH BARAT,Woyla Timur,26,26
11.05.12,ACEH,KAB. ACEH BARAT,Panton Reu,19,19
11.06.01,ACEH,KAB. ACEH BESAR,Lhoong,28,28
11.06.02,ACEH,KAB. ACEH BESAR,Lhoknga,28,28
11.06.03,ACEH,KAB. ACEH BESAR,Indrapuri,52,52
11.06.04,ACEH,KAB. ACEH BESAR,Seulimeum,47,47
11.06.05,ACEH,KAB. ACEH BESAR,Montasik,39,39
11.06.06,ACEH,KAB. ACEH BESAR,Sukamakmur,35,35
11.06.07,ACEH,KAB. ACEH BESAR,Darul Imarah,32,32
11.06.08,ACEH,KAB. ACEH BESAR,Peukan Bada,26,26
11.06.09,ACEH,KAB. ACEH BESAR,Mesjid Raya,13,13
11.06.10,ACEH,KAB. ACEH BESAR,Ingin Jaya,50,50
11.06.11,ACEH,KAB. ACEH BESAR,Kuta Baro,47,47
11.06.12,ACEH,KAB. ACEH BESAR,Darussalam,29,29
11.06.13,ACEH,KAB. ACEH BESAR,Pulo Aceh,17,17
11.06.14,ACEH,KAB. ACEH BESAR,Lembah Seulawah,12,12
11.06.15,ACEH,KAB. ACEH BESAR,Kota Jantho,13,13
11.06.16,ACEH,KAB. ACEH BESAR,Kota Cot Glie,32,32
11.06.17,ACEH,KAB. ACEH BESAR,Kuta Malaka,15,15
11.06.18,ACEH,KAB. ACEH BESAR,Simpang Tiga,18,18
11.06.19,ACEH,KAB. ACEH BESAR,Darul Kamal,14,14
11.06.20,ACEH,KAB. ACEH BESAR,Baitussalam,13,13
11.06.21,ACEH,KAB. ACEH BESAR,Krueng Barona Jaya,12,12
11.06.22,ACEH,KAB. ACEH BESAR,Leupung,6,6
11.06.23,ACEH,KAB. ACEH BESAR,Blang Bintang,26,26
11.07.03,ACEH,KAB. PIDIE,Batee,28,28
11.07.04,ACEH,KAB. PIDIE,Delima,44,44
11.07.05,ACEH,KAB. PIDIE,Geumpang,5,5
11.07.06,ACEH,KAB. PIDIE,Geulumpang Tiga,34,34
11.07.07,ACEH,KAB. PIDIE,Indra Jaya,49,49
11.07.08,ACEH,KAB. PIDIE,Kembang Tanjong,45,45
11.07.09,ACEH,KAB. PIDIE,Kota Sigli,15,15
11.07.11,ACEH,KAB. PIDIE,Mila,20,20
11.07.12,ACEH,KAB. PIDIE,Muara Tiga,18,18
11.07.13,ACEH,KAB. PIDIE,Mutiara,29,29
11.07.14,ACEH,KAB. PIDIE,Padang Tiji,64,64
11.07.15,ACEH,KAB. PIDIE,Peukan Baro,48,48
11.07.16,ACEH,KAB. PIDIE,Pidie,64,64
11.07.17,ACEH,KAB. PIDIE,Sakti,49,49
11.07.18,ACEH,KAB. PIDIE,Simpang Tiga,52,52
11.07.19,ACEH,KAB. PIDIE,Tangse,28,28
11.07.21,ACEH,KAB. PIDIE,Tiro/Truseb,19,19
11.07.22,ACEH,KAB. PIDIE,Keumala,18,18
11.07.24,ACEH,KAB. PIDIE,Mutiara Timur,48,48
11.07.25,ACEH,KAB. PIDIE,Grong-grong,15,15
11.07.27,ACEH,KAB. PIDIE,Mane,4,4
11.07.29,ACEH,KAB. PIDIE,Glumpang Baro,21,21
11.07.31,ACEH,KAB. PIDIE,Titeue,13,13
11.08.01,ACEH,KAB. ACEH UTARA,Baktiya,57,57
11.08.02,ACEH,KAB. ACEH UTARA,Dewantara,15,15
11.08.03,ACEH,KAB. ACEH UTARA,Kuta Makmur,39,39
11.08.04,ACEH,KAB. ACEH UTARA,Lhoksukon,75,75
11.08.05,ACEH,KAB. ACEH UTARA,Matangkuli,49,49
11.08.06,ACEH,KAB. ACEH UTARA,Muara Batu,24,24
11.08.07,ACEH,KAB. ACEH UTARA,Meurah Mulia,50,50
11.08.08,ACEH,KAB. ACEH UTARA,Samudera,40,40
11.08.09,ACEH,KAB. ACEH UTARA,Seunuddon,33,33
11.08.10,ACEH,KAB. ACEH UTARA,Syamtalira Aron,34,34
11.08.11,ACEH,KAB. ACEH UTARA,Syamtalira Bayu,38,38
11.08.12,ACEH,KAB. ACEH UTARA,Tanah Luas,57,57
11.08.13,ACEH,KAB. ACEH UTARA,Tanah Pasir,18,18
11.08.14,ACEH,KAB. ACEH UTARA,T. Jambo Aye,47,47
11.08.15,ACEH,KAB. ACEH UTARA,Sawang,39,39
11.08.16,ACEH,KAB. ACEH UTARA,Nisam,29,29
11.08.17,ACEH,KAB. ACEH UTARA,Cot Girek,24,24
11.08.18,ACEH,KAB. ACEH UTARA,Langkahan,23,23
11.08.19,ACEH,KAB. ACEH UTARA,Baktiya Barat,26,26
11.08.20,ACEH,KAB. ACEH UTARA,Paya Bakong,39,39
11.08.21,ACEH,KAB. ACEH UTARA,Nibong,20,20
11.08.22,ACEH,KAB. ACEH UTARA,Simpang Kramat,16,16
11.08.23,ACEH,KAB. ACEH UTARA,Lapang,11,11
11.08.24,ACEH,KAB. ACEH UTARA,Pirak Timur,23,23
11.08.25,ACEH,KAB. ACEH UTARA,Geuredong Pase,11,11
11.08.26,ACEH,KAB. ACEH UTARA,Banda Baro,9,9
11.08.27,ACEH,KAB. ACEH UTARA,Nisam Antara,6,6
11.09.01,ACEH,KAB. SIMEULUE,Simeulue Tengah,16,16
11.09.02,ACEH,KAB. SIMEULUE,Salang,16,16
11.09.03,ACEH,KAB. SIMEULUE,Teupah Barat,18,18
11.09.04,ACEH,KAB. SIMEULUE,Simeulue Timur,17,17
11.09.05,ACEH,KAB. SIMEULUE,Teluk Dalam,10,10
11.09.06,ACEH,KAB. SIMEULUE,Simeulue Barat,14,14
11.09.07,ACEH,KAB. SIMEULUE,Teupah Selatan,19,19
11.09.08,ACEH,KAB. SIMEULUE,Alapan,8,8
11.09.09,ACEH,KAB. SIMEULUE,Teupah Tengah,12,12
11.09.10,ACEH,KAB. SIMEULUE,Simeulue Cut,8,8
11.10.01,ACEH,KAB. ACEH SINGKIL,Pulau Banyak,3,3
11.10.02,ACEH,KAB. ACEH SINGKIL,Simpang Kanan,25,25
11.10.04,ACEH,KAB. ACEH SINGKIL,Singkil,16,16
11.10.06,ACEH,KAB. ACEH SINGKIL,Gunung Meriah,25,25
11.10.09,ACEH,KAB. ACEH SINGKIL,Kota Baharu,9,9
11.10.10,ACEH,KAB. ACEH SINGKIL,Singkil Utara,7,7
11.10.11,ACEH,KAB. ACEH SINGKIL,Danau Paris,6,6
11.10.12,ACEH,KAB. ACEH SINGKIL,Suro Makmur,11,11
11.10.13,ACEH,KAB. ACEH SINGKIL,Singkohor,6,6
11.10.14,ACEH,KAB. ACEH SINGKIL,Kuala Baru,4,4
11.10.16,ACEH,KAB. ACEH SINGKIL,Pulau Banyak Barat,4,4
11.11.01,ACEH,KAB. BIREUEN,Samalanga,46,46
11.11.02,ACEH,KAB. BIREUEN,Jeunieb,43,43
11.11.03,ACEH,KAB. BIREUEN,Peudada,52,52
11.11.04,ACEH,KAB. BIREUEN,Jeumpa,42,42
11.11.05,ACEH,KAB. BIREUEN,Peusangan,69,69
11.11.06,ACEH,KAB. BIREUEN,Makmur,27,27
11.11.07,ACEH,KAB. BIREUEN,Gandapura,40,40
11.11.08,ACEH,KAB. BIREUEN,Pandrah,19,19
11.11.09,ACEH,KAB. BIREUEN,Juli,36,36
11.11.10,ACEH,KAB. BIREUEN,Jangka,46,46
11.11.11,ACEH,KAB. BIREUEN,Simpang Mamplam,41,41
11.11.12,ACEH,KAB. BIREUEN,Peulimbang,22,22
11.11.13,ACEH,KAB. BIREUEN,Kota Juang,23,23
11.11.14,ACEH,KAB. BIREUEN,Kuala,20,20
11.11.15,ACEH,KAB. BIREUEN,Peusangan Siblah Krueng,21,21
11.11.16,ACEH,KAB. BIREUEN,Peusangan Selatan,21,21
11.11.17,ACEH,KAB. BIREUEN,Kuta Blang,41,41
11.12.01,ACEH,KAB. ACEH BARAT DAYA,Blang Pidie,20,20
11.12.02,ACEH,KAB. ACEH BARAT DAYA,Tangan-Tangan,15,15
11.12.03,ACEH,KAB. ACEH BARAT DAYA,Manggeng,18,18
11.12.04,ACEH,KAB. ACEH BARAT DAYA,Susoh,29,29
11.12.05,ACEH,KAB. ACEH BARAT DAYA,Kuala Batee,21,21
11.12.06,ACEH,KAB. ACEH BARAT DAYA,Babah Rot,14,14
11.12.07,ACEH,KAB. ACEH BARAT DAYA,Setia,9,9
11.12.08,ACEH,KAB. ACEH BARAT DAYA,Jeumpa,12,12
11.12.09,ACEH,KAB. ACEH BARAT DAYA,Lembah Sabil,14,14
11.13.01,ACEH,KAB. GAYO LUES,Blangkejeren,20,20
11.13.02,ACEH,KAB. GAYO LUES,Kutapanjang,12,12
11.13.03,ACEH,KAB. GAYO LUES,Rikit Gaib,13,13
11.13.04,ACEH,KAB. GAYO LUES,Terangun,23,23
11.13.05,ACEH,KAB. GAYO LUES,Pining,9,9
11.13.06,ACEH,KAB. GAYO LUES,Blangpegayon,12,12
11.13.07,ACEH,KAB. GAYO LUES,Puteri Betung,9,9
11.13.08,ACEH,KAB. GAYO LUES,Dabun Gelang,9,9
11.13.09,ACEH,KAB. GAYO LUES,Blangjerango,10,10
11.13.10,ACEH,KAB. GAYO LUES,Teripe Jaya,10,10
11.13.11,ACEH,KAB. GAYO LUES,Pantan Cuaca,9,9
11.14.01,ACEH,KAB. ACEH JAYA,Teunom,22,22
11.14.02,ACEH,KAB. ACEH JAYA,Krueng Sabee,17,17
11.14.03,ACEH,KAB. ACEH JAYA,Setia Bhakti,13,13
11.14.04,ACEH,KAB. ACEH JAYA,Sampoiniet,19,19
11.14.05,ACEH,KAB. ACEH JAYA,Jaya,34,34
11.14.06,ACEH,KAB. ACEH JAYA,Panga,20,20
11.14.07,ACEH,KAB. ACEH JAYA,Indra Jaya,14,14
11.14.08,ACEH,KAB. ACEH JAYA,Darul Hikmah,19,19
11.14.09,ACEH,KAB. ACEH JAYA,Pasie Raya,14,14
11.15.01,ACEH,KAB. NAGAN RAYA,Kuala,17,17
11.15.02,ACEH,KAB. NAGAN RAYA,Seunagan,35,35
11.15.03,ACEH,KAB. NAGAN RAYA,Seunagan Timur,34,34
11.15.04,ACEH,KAB. NAGAN RAYA,Beutong,24,24
11.15.05,ACEH,KAB. NAGAN RAYA,Darul Makmur,40,40
11.15.06,ACEH,KAB. NAGAN RAYA,Suka Makmue,19,19
11.15.07,ACEH,KAB. NAGAN RAYA,Kuala Pesisir,16,16
11.15.08,ACEH,KAB. NAGAN RAYA,Tadu Raya,22,22
11.15.09,ACEH,KAB. NAGAN RAYA,Tripa Makmur,11,11
11.15.10,ACEH,KAB. NAGAN RAYA,Beutong Ateuh Banggalang,4,4
11.16.01,ACEH,KAB. ACEH TAMIANG,Manyak Payed,36,36
11.16.02,ACEH,KAB. ACEH TAMIANG,Bendahara,33,33
11.16.03,ACEH,KAB. ACEH TAMIANG,Karang Baru,31,31
11.16.04,ACEH,KAB. ACEH TAMIANG,Seruway,24,24
11.16.05,ACEH,KAB. ACEH TAMIANG,Kota Kualasinpang,5,5
11.16.06,ACEH,KAB. ACEH TAMIANG,Kejuruan Muda,15,15
11.16.07,ACEH,KAB. ACEH TAMIANG,Tamiang Hulu,9,9
11.16.08,ACEH,KAB. ACEH TAMIANG,Rantau,16,16
11.16.09,ACEH,KAB. ACEH TAMIANG,Banda Mulia,10,10
11.16.10,ACEH,KAB. ACEH TAMIANG,Bandar Pusaka,15,15
11.16.11,ACEH,KAB. ACEH TAMIANG,Tenggulun,5,5
11.16.12,ACEH,KAB. ACEH TAMIANG,Sekerak,14,14
11.17.01,ACEH,KAB. BENER MERIAH,Pintu Rime Gayo,23,23
11.17.02,ACEH,KAB. BENER MERIAH,Permata,27,27
11.17.03,ACEH,KAB. BENER MERIAH,Syiah Utama,14,14
11.17.04,ACEH,KAB. BENER MERIAH,Bandar,35,35
11.17.05,ACEH,KAB. BENER MERIAH,Bukit,40,40
11.17.06,ACEH,KAB. BENER MERIAH,Wih Pesam,26,26
11.17.07,ACEH,KAB. BENER MERIAH,Timang gajah,30,30
11.17.08,ACEH,KAB. BENER MERIAH,Bener Kelipah,12,12
11.17.09,ACEH,KAB. BENER MERIAH,Mesidah,15,15
11.17.10,ACEH,KAB. BENER MERIAH,Gajah Putih,10,10
11.18.01,ACEH,KAB. PIDIE JAYA,Meureudu,30,30
11.18.02,ACEH,KAB. PIDIE JAYA,Ulim,30,30
11.18.03,ACEH,KAB. PIDIE JAYA,Jangka Buaya,18,18
11.18.04,ACEH,KAB. PIDIE JAYA,Bandar Dua,45,45
11.18.05,ACEH,KAB. PIDIE JAYA,Meurah Dua,19,19
11.18.06,ACEH,KAB. PIDIE JAYA,Bandar Baru,43,43
11.18.07,ACEH,KAB. PIDIE JAYA,Panteraja,10,10
11.18.08,ACEH,KAB. PIDIE JAYA,Trienggadeng,27,27
11.71.01,ACEH,KOTA BANDA ACEH,Baiturrahman,10,10
11.71.02,ACEH,KOTA BANDA ACEH,Kuta Alam,11,11
11.71.03,ACEH,KOTA BANDA ACEH,Meuraxa,16,16
11.71.04,ACEH,KOTA BANDA ACEH,Syiah Kuala,10,10
11.71.05,ACEH,KOTA BANDA ACEH,Lueng Bata,9,9
11.71.06,ACEH,KOTA BANDA ACEH,Kuta Raja,6,6
11.71.07,ACEH,KOTA BANDA ACEH,Banda Raya,10,10
11.71.08,ACEH,KOTA BANDA ACEH,Jaya Baru,9,9
11.71.09,ACEH,KOTA BANDA ACEH,Ulee Kareng,9,9
11.72.01,ACEH,KOTA SABANG,Sukakarya,8,8
11.72.02,ACEH,KOTA SABANG,Sukajaya,10,10
11.73.01,ACEH,KOTA LHOKSEUMAWE,Muara Dua,17,17
11.73.02,ACEH,KOTA LHOKSEUMAWE,Banda Sakti,18,18
11.73.03,ACEH,KOTA LHOKSEUMAWE,Blang Mangat,22,22
11.73.04,ACEH,KOTA LHOKSEUMAWE,Muara Satu,11,11
11.74.01,ACEH,KOTA LANGSA,Langsa Timur,16,16
11.74.02,ACEH,KOTA LANGSA,Langsa Barat,13,13
11.74.03,ACEH,KOTA LANGSA,Langsa Kota,10,10
11.74.04,ACEH,KOTA LANGSA,Langsa Lama,15,15
11.74.05,ACEH,KOTA LANGSA,Langsa Baro,12,12
11.75.01,ACEH,KOTA SUBULUSSALAM,Simpang Kiri,17,17
11.75.02,ACEH,KOTA SUBULUSSALAM,Penanggalan,13,13
11.75.03,ACEH,KOTA SUBULUSSALAM,Rundeng,23,23
11.75.04,ACEH,KOTA SUBULUSSALAM,Sultan Daulat,19,19
11.75.05,ACEH,KOTA SUBULUSSALAM,Longkib,10,10
12.01.01,SUMATERA UTARA,KAB. TAPANULI TENGAH,Barus,13,13
12.01.02,SUMATERA UTARA,KAB. TAPANULI TENGAH,Sorkam,21,21
12.01.03,SUMATERA UTARA,KAB. TAPANULI TENGAH,Pandan,22,22
12.01.04,SUMATERA UTARA,KAB. TAPANULI TENGAH,Pinangsori,10,10
12.01.05,SUMATERA UTARA,KAB. TAPANULI TENGAH,Manduamas,20,20
12.01.06,SUMATERA UTARA,KAB. TAPANULI TENGAH,Kolang,14,14
12.01.07,SUMATERA UTARA,KAB. TAPANULI TENGAH,Tapian Nauli,9,9
12.01.08,SUMATERA UTARA,KAB. TAPANULI TENGAH,Sibabangun,7,7
12.01.09,SUMATERA UTARA,KAB. TAPANULI TENGAH,Sosorgadong,9,9
12.01.10,SUMATERA UTARA,KAB. TAPANULI TENGAH,Sorkam Barat,12,12
12.01.11,SUMATERA UTARA,KAB. TAPANULI TENGAH,Sirandorung,8,8
12.01.12,SUMATERA UTARA,KAB. TAPANULI TENGAH,Andam Dewi,14,14
12.01.13,SUMATERA UTARA,KAB. TAPANULI TENGAH,Sitahuis,6,6
12.01.14,SUMATERA UTARA,KAB. TAPANULI TENGAH,Tukka,9,9
12.01.15,SUMATERA UTARA,KAB. TAPANULI TENGAH,Badiri,9,9
12.01.16,SUMATERA UTARA,KAB. TAPANULI TENGAH,Pasaribu Tobing,9,9
12.01.17,SUMATERA UTARA,KAB. TAPANULI TENGAH,Barus Utara,6,6
12.01.18,SUMATERA UTARA,KAB. TAPANULI TENGAH,Suka Bangun,6,6
12.01.19,SUMATERA UTARA,KAB. TAPANULI TENGAH,Lumut,6,6
12.01.20,SUMATERA UTARA,KAB. TAPANULI TENGAH,Sarudik,5,5
12.02.01,SUMATERA UTARA,KAB. TAPANULI UTARA,Tarutung,31,31
12.02.02,SUMATERA UTARA,KAB. TAPANULI UTARA,Siatas Barita,12,12
12.02.03,SUMATERA UTARA,KAB. TAPANULI UTARA,Adian Koting,16,16
12.02.04,SUMATERA UTARA,KAB. TAPANULI UTARA,Sipoholon,14,14
12.02.05,SUMATERA UTARA,KAB. TAPANULI UTARA,Pahae Julu,19,19
12.02.06,SUMATERA UTARA,KAB. TAPANULI UTARA,Pahae Jae,13,13
12.02.07,SUMATERA UTARA,KAB. TAPANULI UTARA,Simangumban,8,8
12.02.08,SUMATERA UTARA,KAB. TAPANULI UTARA,Purba Tua,11,11
12.02.09,SUMATERA UTARA,KAB. TAPANULI UTARA,Siborong-Borong,21,21
12.02.10,SUMATERA UTARA,KAB. TAPANULI UTARA,Pagaran,14,14
12.02.11,SUMATERA UTARA,KAB. TAPANULI UTARA,Parmonangan,14,14
12.02.12,SUMATERA UTARA,KAB. TAPANULI UTARA,Sipahutar,25,25
12.02.13,SUMATERA UTARA,KAB. TAPANULI UTARA,Pangaribuan,26,26
12.02.14,SUMATERA UTARA,KAB. TAPANULI UTARA,Garoga,13,13
12.02.15,SUMATERA UTARA,KAB. TAPANULI UTARA,Muara,15,15
12.03.01,SUMATERA UTARA,KAB. TAPANULI SELATAN,Angkola Barat,14,14
12.03.02,SUMATERA UTARA,KAB. TAPANULI SELATAN,Batang Toru,23,23
12.03.03,SUMATERA UTARA,KAB. TAPANULI SELATAN,Angkola Timur,15,15
12.03.04,SUMATERA UTARA,KAB. TAPANULI SELATAN,Sipirok,40,40
12.03.05,SUMATERA UTARA,KAB. TAPANULI SELATAN,Saipar Dolok Hole,14,14
12.03.06,SUMATERA UTARA,KAB. TAPANULI SELATAN,Angkola Selatan,17,17
12.03.07,SUMATERA UTARA,KAB. TAPANULI SELATAN,Batang Angkola,21,21
12.03.14,SUMATERA UTARA,KAB. TAPANULI SELATAN,Arse,10,10
12.03.20,SUMATERA UTARA,KAB. TAPANULI SELATAN,Marancar,12,12
12.03.21,SUMATERA UTARA,KAB. TAPANULI SELATAN,Sayur Matinggi,19,19
12.03.22,SUMATERA UTARA,KAB. TAPANULI SELATAN,Aek Bilah,12,12
12.03.29,SUMATERA UTARA,KAB. TAPANULI SELATAN,Muara Batang Toru,9,9
12.03.30,SUMATERA UTARA,KAB. TAPANULI SELATAN,Tano Tombangan Angkola,17,17
12.03.31,SUMATERA UTARA,KAB. TAPANULI SELATAN,Angkola Sangkunur,10,10
12.03.32,SUMATERA UTARA,KAB. TAPANULI SELATAN,Angkola Muara Tais,15,15
12.04.05,SUMATERA UTARA,KAB. NIAS,Hiliduho,16,16
12.04.06,SUMATERA UTARA,KAB. NIAS,Gido,21,21
12.04.10,SUMATERA UTARA,KAB. NIAS,Idanogawo,28,28
12.04.11,SUMATERA UTARA,KAB. NIAS,Bawolato,25,25
12.04.20,SUMATERA UTARA,KAB. NIAS,Hiliserangkai,15,15
12.04.21,SUMATERA UTARA,KAB. NIAS,Botomuzoi,18,18
12.04.27,SUMATERA UTARA,KAB. NIAS,Ulugawo,14,14
12.04.28,SUMATERA UTARA,KAB. NIAS,Ma'u,11,11
12.04.29,SUMATERA UTARA,KAB. NIAS,Somolo-molo,11,11
12.04.35,SUMATERA UTARA,KAB. NIAS,Sogae'adu,11,11
12.05.01,SUMATERA UTARA,KAB. LANGKAT,Bahorok,19,19
12.05.02,SUMATERA UTARA,KAB. LANGKAT,Salapian,17,17
12.05.03,SUMATERA UTARA,KAB. LANGKAT,Kuala,16,16
12.05.04,SUMATERA UTARA,KAB. LANGKAT,Sei Bingai,16,16
12.05.05,SUMATERA UTARA,KAB. LANGKAT,Binjai,7,7
12.05.06,SUMATERA UTARA,KAB. LANGKAT,Selesai,14,14
12.05.07,SUMATERA UTARA,KAB. LANGKAT,Stabat,12,12
12.05.08,SUMATERA UTARA,KAB. LANGKAT,Wampu,14,14
12.05.09,SUMATERA UTARA,KAB. LANGKAT,Secanggang,17,17
12.05.10,SUMATERA UTARA,KAB. LANGKAT,Hinai,13,13
12.05.11,SUMATERA UTARA,KAB. LANGKAT,Tanjung Pura,19,19
12.05.12,SUMATERA UTARA,KAB. LANGKAT,Padang Tualang,12,12
12.05.13,SUMATERA UTARA,KAB. LANGKAT,Gebang,11,11
12.05.14,SUMATERA UTARA,KAB. LANGKAT,Babalan,8,8
12.05.15,SUMATERA UTARA,KAB. LANGKAT,Pangkalan Susu,11,11
12.05.16,SUMATERA UTARA,KAB. LANGKAT,Besitang,9,9
12.05.17,SUMATERA UTARA,KAB. LANGKAT,Sei Lepan,14,14
12.05.18,SUMATERA UTARA,KAB. LANGKAT,Berandan Barat,7,7
12.05.19,SUMATERA UTARA,KAB. LANGKAT,Batang Serangan,8,8
12.05.20,SUMATERA UTARA,KAB. LANGKAT,Sawit Seberang,7,7
12.05.21,SUMATERA UTARA,KAB. LANGKAT,Sirapit,10,10
12.05.22,SUMATERA UTARA,KAB. LANGKAT,Kutambaru,8,8
12.05.23,SUMATERA UTARA,KAB. LANGKAT,Pematang Jaya,8,8
12.06.01,SUMATERA UTARA,KAB. KARO,Kabanjahe,13,13
12.06.02,SUMATERA UTARA,KAB. KARO,Berastagi,10,10
12.06.03,SUMATERA UTARA,KAB. KARO,Barusjahe,19,19
12.06.04,SUMATERA UTARA,KAB. KARO,Tigapanah,26,26
12.06.05,SUMATERA UTARA,KAB. KARO,Merek,19,19
