,nama_wilayah,latitude,longitude,kabupaten,kab_latitude,kab_longitude
558,SUMEDANG SELATAN,-6.902,107.921,KAB. SUMEDANG,-6.825,107.981
559,SUMEDANG UTARA,-6.836,107.908,KAB. SUMEDANG,-6.825,107.981
560,SURIAN,-6.643,107.875,KAB. SUMEDANG,-6.825,107.981
561,TANJUNGKERTA,-6.762,107.902,KAB. SUMEDANG,-6.825,107.981
562,TANJUNGMEDAR,-6.736,107.862,KAB. SUMEDANG,-6.825,107.981
563,TANJUNGSARI,-6.868,107.797,KAB. SUMEDANG,-6.825,107.981
564,TOMO,-6.788,108.117,KAB. SUMEDANG,-6.825,107.981
565,UJUNGJAYA,-6.709,108.093,KAB. SUMEDANG,-6.825,107.981
566,WADO,-6.984,108.117,KAB. SUMEDANG,-6.825,107.981
567,BUNGURSARI,-7.308,108.178,KOTA TASIKMALAYA,-7.36,108.219
568,CIBEUREUM,-7.355,108.259,KOTA TASIKMALAYA,-7.36,108.219
569,CIHIDEUNG,-7.336,108.213,KOTA TASIKMALAYA,-7.36,108.219
570,CIPEDES,-7.314,108.223,KOTA TASIKMALAYA,-7.36,108.219
571,INDIHIANG,-7.291,108.198,KOTA TASIKMALAYA,-7.36,108.219
572,KAWALU,-7.402,108.202,KOTA TASIKMALAYA,-7.36,108.219
573,MANGKUBUMI,-7.346,108.185,KOTA TASIKMALAYA,-7.36,108.219
574,PURBARATU,-7.333,108.266,KOTA TASIKMALAYA,-7.36,108.219
575,TAMANSARI,-7.397,108.249,KOTA TASIKMALAYA,-7.36,108.219
576,TAWANG,-7.339,108.228,KOTA TASIKMALAYA,-7.36,108.219
577,CIAWIGEBANG,-6.947,108.6,KAB. KUNINGAN,-7.004,108.56
578,CIBEUREUM,-7.079,108.715,KAB. KUNINGAN,-7.004,108.56
579,CIBINGBIN,-7.055,108.757,KAB. KUNINGAN,-7.004,108.56
580,CIDAHU,-6.964,108.661,KAB. KUNINGAN,-7.004,108.56
581,CIGANDAMEKAR,-6.887,108.531,KAB. KUNINGAN,-7.004,108.56
582,CIGUGUR,-6.954,108.441,KAB. KUNINGAN,-7.004,108.56
583,CILEBAK,-7.14,108.578,KAB. KUNINGAN,-7.004,108.56
584,CILIMUS,-6.876,108.473,KAB. KUNINGAN,-7.004,108.56
585,CIMAHI,-6.999,108.703,KAB. KUNINGAN,-7.004,108.56
586,CINIRU,-7.057,108.506,KAB. KUNINGAN,-7.004,108.56
587,CIPICUNG,-6.942,108.552,KAB. KUNINGAN,-7.004,108.56
588,CIWARU,-7.087,108.632,KAB. KUNINGAN,-7.004,108.56
589,DARMA,-7.01,108.403,KAB. KUNINGAN,-7.004,108.56
590,GARAWANGI,-7.013,108.527,KAB. KUNINGAN,-7.004,108.56
591,HANTARA,-7.064,108.454,KAB. KUNINGAN,-7.004,108.56
592,JALAKSANA,-6.916,108.459,KAB. KUNINGAN,-7.004,108.56
593,JAPARA,-6.912,108.544,KAB. KUNINGAN,-7.004,108.56
594,KADUGEDE,-7.008,108.452,KAB. KUNINGAN,-7.004,108.56
595,KALIMANGGIS,-6.953,108.627,KAB. KUNINGAN,-7.004,108.56
596,KARANG KANCANA,-7.101,108.673,KAB. KUNINGAN,-7.004,108.56
597,KRAMATMULYA,-6.941,108.492,KAB. KUNINGAN,-7.004,108.56
598,KUNINGAN,-6.98,108.492,KAB. KUNINGAN,-7.004,108.56
599,LEBAKWANGI,-7.01,108.586,KAB. KUNINGAN,-7.004,108.56
600,LURAGUNG,-7.018,108.637,KAB. KUNINGAN,-7.004,108.56
601,MALEBER,-7.056,108.572,KAB. KUNINGAN,-7.004,108.56
602,MANDIRANCAN,-6.845,108.455,KAB. KUNINGAN,-7.004,108.56
603,NUSAHERANG,-7.015,108.432,KAB. KUNINGAN,-7.004,108.56
604,PANCALANG,-6.817,108.495,KAB. KUNINGAN,-7.004,108.56
605,PASAWAHAN,-6.825,108.427,KAB. KUNINGAN,-7.004,108.56
606,SELAJAMBE,-7.104,108.468,KAB. KUNINGAN,-7.004,108.56
607,SINDANG AGUNG,-6.971,108.531,KAB. KUNINGAN,-7.004,108.56
608,SUBANG,-7.129,108.539,KAB. KUNINGAN,-7.004,108.56
609,CIGUGUR,-7.624,108.402,KAB. PANGANDARAN,-7.636,108.519
610,CIJULANG,-7.716,108.443,KAB. PANGANDARAN,-7.636,108.519
611,CIMERAK,-7.762,108.391,KAB. PANGANDARAN,-7.636,108.519
612,KALIPUCANG,-7.639,108.718,KAB. PANGANDARAN,-7.636,108.519
613,LANGKAPLANCAR,-7.552,108.437,KAB. PANGANDARAN,-7.636,108.519
614,MANGUNJAYA,-7.485,108.689,KAB. PANGANDARAN,-7.636,108.519
615,PADAHERANG,-7.551,108.694,KAB. PANGANDARAN,-7.636,108.519
616,PANGANDARAN,-7.648,108.651,KAB. PANGANDARAN,-7.636,108.519
617,PARIGI,-7.648,108.518,KAB. PANGANDARAN,-7.636,108.519
618,SIDAMULIH,-7.62,108.589,KAB. PANGANDARAN,-7.636,108.519
619,CIMAHI SELATAN,-6.908,107.54,KOTA CIMAHI,-6.886,107.544
620,CIMAHI TENGAH,-6.884,107.54,KOTA CIMAHI,-6.886,107.544
621,CIMAHI UTARA,-6.863,107.551,KOTA CIMAHI,-6.886,107.544
622,HARJAMUKTI,-6.761,108.548,KOTA CIREBON,-6.742,108.554
623,KEJAKSAN,-6.704,108.556,KOTA CIREBON,-6.742,108.554
624,KESAMBI,-6.733,108.542,KOTA CIREBON,-6.742,108.554
625,LEMAH WUNGKUK,-6.732,108.576,KOTA CIREBON,-6.742,108.554
626,PEKALIPAN,-6.723,108.564,KOTA CIREBON,-6.742,108.554
