unique_location,count(nik),koordinat
JAWA BARAT_GARUT_KARANGPAWITAN_LEBAKJAYA,8119,"(-7.2161499999999705, 107.93155000000007, 'Lebakjaya, Karangpawitan, Jawa Barat')"
JAWA BARAT_GARUT_KARANGPAWITAN_LENGKONGJAYA,4108,"(-7.203229999999962, 107.92661000000004, 'Lengkongjaya, Karangpawitan, Jawa Barat')"
JAWA BARAT_GARUT_KARANGPAWITAN_SUCI KALER,5569,"(-7.2109799999999495, 107.91796000000005, 'Sucikaler, Karangpawitan, Jawa Barat')"
JAWA BARAT_BANDUNG_CIMENYAN_PADASUKA,12040,"(-6.888459999999952, 107.65860000000004, 'Padasuka, Cimenyan, Bandung, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI BARAT_KRANJI,27458,"(-6.230569999999943, 106.97570000000007, 'Kranji, Bekasi Barat, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI SELATAN_JAKA MULYA,21242,"(-6.2675499999999715, 106.96118000000007, 'Jaka Mulya, Bekasi Selatan, Bekasi, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_BATU TULIS,7716,"(-6.620209999999929, 106.80741000000006, 'Batutulis, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_BOJONGKERTA,6488,"(-6.664609999999925, 106.83682000000005, 'Bojongkerta, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_BONDONGAN,9932,"(-6.612189999999941, 106.80307000000005, 'Bondongan, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_CIKARET,13058,"(-6.615849999999966, 106.78546000000006, 'Cikaret, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_CIPAKU,9658,"(-6.635279999999966, 106.81542000000007, 'Cipaku, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_EMPANG,12314,"(-6.612039999999979, 106.80085000000008, 'Empang, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_GENTENG,5783,"(-6.649399999999957, 106.81687000000005, 'Genteng, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_HARJASARI,8799,"(-6.6527399999999375, 106.83978000000008, 'Harjasari, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_LAWANGGINTUNG,4983,"(-6.624519999999961, 106.81410000000005, 'Lawanggintung, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_MUARASARI,6918,"(-6.643899999999974, 106.83185000000009, 'Muarasari, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_MULYAHARJA,13652,"(-6.649939999999958, 106.79197000000005, 'Mulyaharja, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_PAKUAN,3710,"(-6.633799999999951, 106.82352000000009, 'Pakuan, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR UTARA_CIBULUH,10448,"(-6.56189999999998, 106.81562000000008, 'Cibuluh, Bogor Utara, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR UTARA_CILUAR,10424,"(-6.560639999999978, 106.82744000000008, 'Ciluar, Bogor Utara, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR UTARA_CIMAHPAR,14450,"(-6.589749999999981, 106.82754000000006, 'Cimahpar, Bogor Utara, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR UTARA_CIPARIGI,15711,"(-6.5458999999999605, 106.81629000000004, 'Ciparigi, Bogor Utara, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR UTARA_KEDUNGHALANG,14592,"(-6.549719999999979, 106.80677000000009, 'Kedunghalang, Bogor Utara, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR UTARA_TANAH BARU,16096,"(-6.578839999999957, 106.82261000000005, 'Tanahbaru, Bogor Utara, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR UTARA_TEGALGUNDIL,18583,"(-6.581209999999942, 106.81380000000007, 'Tegalgundil, Bogor Utara, Bogor, Jawa Barat')"
JAWA BARAT_DEPOK_PANCORAN MAS_DEPOK,28710,"(-6.394659999999931, 106.82287000000008, 'Depok, Pancoran Mas, Jawa Barat')"
JAWA BARAT_DEPOK_PANCORAN MAS_DEPOK JAYA,17726,"(-6.391839999999945, 106.81458000000003, 'Depok Jaya, Pancoran Mas, Jawa Barat')"
JAWA BARAT_GARUT_PANGATIKAN_BABAKANLOA,3833,"(-7.161949999999933, 108.00253000000004, 'Babakanloa, Pangatikan, Jawa Barat')"
JAWA BARAT_GARUT_PANGATIKAN_CIMARAGAS,3838,"(-7.156919999999957, 107.99341000000004, 'Cimaragas, Pangatikan, Jawa Barat')"
JAWA BARAT_BOGOR_CIOMAS_PADASUKA,12130,"(-6.5945599999999445, 106.75994000000009, 'Padasuka, Ciomas, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_TANAH SAREAL_KEDUNGJAYA,8768,"(-6.564389999999946, 106.78706000000005, 'Kedungjaya, Tanah Sereal, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_TANAH SAREAL_KEDUNGWARINGIN,15121,"(-6.569279999999935, 106.78212000000008, 'Kedungwaringin, Tanah Sereal, Bogor, Jawa Barat')"
