unique_location,count(nik),koordinat
JAWA BARAT_BANDUNG_BATUNUNGGAL_KACAPIRING,6534,"(-6.917449999999974, 107.63371000000006, 'Kacapiring, Batununggal, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BATUNUNGGAL_KEBONGEDANG,6531,"(-6.926769999999976, 107.64301000000006, 'Kebon Gedang, Batununggal, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BATUNUNGGAL_KEBONWARU,11825,"(-6.9165199999999345, 107.64060000000006, 'Kebon Waru, Batununggal, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BATUNUNGGAL_MALEER,11489,"(-6.9265799999999444, 107.64085000000006, 'Maleer, Batununggal, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BATUNUNGGAL_SAMOJA,9106,"(-6.921459999999968, 107.62599000000006, 'Samoja, Batununggal, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BOJONGLOA KALER_BABAKAN ASIH,11064,"(-6.9321599999999535, 107.59431000000006, 'Babakan Asih, Bojongloa Kaler, Bandung, Jawa Barat')"
JAWA BARAT_DEPOK_CIMANGGIS_MEKARSARI,31681,"(-6.365539999999953, 106.86558000000008, 'Mekarsari, Cimanggis, Jawa Barat')"
JAWA BARAT_DEPOK_CIMANGGIS_PASIR GUNUNG SELATAN,16521,"(-6.347629999999981, 106.84611000000007, 'Pasir Gunung Selatan, Cimanggis, Jawa Barat')"
JAWA BARAT_DEPOK_CIMANGGIS_TUGU,53296,"(-6.3624399999999355, 106.84910000000008, 'Tugu, Cimanggis, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_MANGKUBUMI_MANGKUBUMI,10336,"(-7.3455999999999335, 108.19064000000009, 'Mangkubumi, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_MANGKUBUMI_SAMBONGJAYA,9674,"(-7.357569999999953, 108.21026000000006, 'Sambongjaya, Mangkubumi, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_MANGKUBUMI_SAMBONGPARI,6024,"(-7.351929999999925, 108.20114000000007, 'Sambongpari, Mangkubumi, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_PURBARATU_PURBARATU,4330,"(-7.335899999999981, 108.26687000000004, 'Purbaratu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_PURBARATU_SINGKUP,5266,"(-7.335119999999961, 108.27304000000004, 'Singkup, Purbaratu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_PURBARATU_SUKAASIH,4206,"(-7.323189999999954, 108.24564000000004, 'Sukaasih, Purbaratu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_PURBARATU_SUKAJAYA,4607,"(-7.3273099999999545, 108.26797000000005, 'Sukajaya, Purbaratu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_PURBARATU_SUKAMENAK,5660,"(-7.3270899999999415, 108.25494000000003, 'Sukamenak, Purbaratu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_PURBARATU_SUKANAGARA,5795,"(-7.3402999999999565, 108.24677000000008, 'Sukanagara, Purbaratu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_TAMANSARI_MUGARSARI,3861,"(-7.3779799999999796, 108.26051000000007, 'Mugarsari, Taman Sari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_TAMANSARI_MULYASARI,9782,"(-7.372679999999946, 108.22570000000007, 'Mulyasari, Taman Sari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_BANDUNG_PACET_CINANGGELA,3056,"(-7.125009999999975, 107.68216000000007, 'Cinanggela, Pacet, Bandung, Jawa Barat')"
JAWA BARAT_CIANJUR_SUKALUYU_SINDANGRAJA,5737,"(-6.776749999999936, 107.24677000000008, 'Sindangraja, Sukaluyu, Jawa Barat')"
JAWA BARAT_BANDUNG_LENGKONG_TURANGGA,10458,"(-6.934959999999933, 107.62470000000008, 'Turangga, Lengkong, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_MANDALAJATI_JATIHANDAP,17142,"(-6.895039999999938, 107.66507000000007, 'Jatihandap, Mandalajati, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_MANDALAJATI_KARANG PAMULANG,12107,"(-6.899579999999958, 107.67640000000006, 'Karang Pamulang, Mandalajati, Bandung, Jawa Barat')"
JAWA BARAT_BEKASI_JATISAMPURNA_JATIRANGGON,14985,"(-6.337989999999934, 106.92317000000008, 'Jatiranggon, Jatisampurna, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_JATISAMPURNA_JATISAMPURNA,17226,"(-6.362299999999948, 106.93006000000008, 'Jatisampurna, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_MEDAN SATRIA_HARAPAN MULYA,12587,"(-6.2258299999999736, 106.98463000000004, 'Harapan Mulya, Medan Satria, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_MEDAN SATRIA_KALI BARU,15969,"(-6.219419999999957, 106.98130000000003, 'Kali Baru, Medan Satria, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_MEDAN SATRIA_MEDAN SATRIA,14772,"(-6.1957199999999375, 106.97398000000004, 'Medan Satria, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_MEDAN SATRIA_PEJUANG,48359,"(-6.183239999999955, 106.98559000000006, 'Pejuang, Medan Satria, Bekasi, Jawa Barat')"
JAWA BARAT_DEPOK_SAWANGAN_SAWANGAN,11701,"(-6.404719999999941, 106.76456000000007, 'Sawangan, Jawa Barat')"
JAWA BARAT_DEPOK_SAWANGAN_SAWANGAN BARU,10427,"(-6.4027999999999565, 106.77087000000006, 'Sawangan Baru, Sawangan, Jawa Barat')"
JAWA BARAT_DEPOK_SUKMAJAYA_ABADI JAYA,40351,"(-6.389689999999973, 106.85203000000007, 'Abadi Jaya')"
JAWA BARAT_BOGOR_MEGAMENDUNG_CIPAYUNG,10511,"(-6.650769999999966, 106.89832000000007, 'PLN Cipayung')"
JAWA BARAT_MAJALENGKA_MAJALENGKA_SINDANGKASIH,4400,"(-6.850289999999973, 108.24695000000008, 'Sindangkasih, Majalengka, Jawa Barat')"
JAWA BARAT_MAJALENGKA_MAJALENGKA_TARIKOLOT,1803,"(-6.8244099999999435, 108.22421000000008, 'Tarikolot, Majalengka, Jawa Barat')"
JAWA BARAT_MAJALENGKA_MAJALENGKA_TONJONG,2827,"(-6.833409999999958, 108.24196000000006, 'Tonjong, Majalengka, Jawa Barat')"
JAWA BARAT_MAJALENGKA_MALAUSMA_KERAMAT JAYA,1188,"(-7.041259999999966, 108.24921000000006, 'Malausma, Jawa Barat')"
JAWA BARAT_CIREBON_KEJAKSAN_SUKAPURA,10635,"(-6.705529999999953, 108.54966000000007, 'Sukapura, Kejaksan, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_KESAMBI_DRAJAT,11471,"(-6.7344099999999685, 108.55786000000006, 'Drajat, Kesambi, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_KESAMBI_KARYAMULYA,17835,"(-6.740719999999953, 108.53096000000005, 'Karyamulya, Kesambi, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_KESAMBI_KESAMBI,6513,"(-6.736769999999979, 108.54210000000006, 'Kesambi, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_KESAMBI_PEKIRINGAN,8850,"(-6.7198099999999386, 108.55243000000007, 'Pekiringan, Kesambi, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_KESAMBI_SUNYARAGI,8843,"(-6.7329899999999725, 108.54077000000007, 'Sunyaragi, Kesambi, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_LEMAH WUNGKUK_KESEPUHAN,11914,"(-6.726299999999981, 108.57442000000009, 'Kesepuhan, Lemahwungkuk, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_LEMAH WUNGKUK_LEMAHWUNGKUK,6380,"(-6.721549999999979, 108.57233000000008, 'Lemahwungkuk, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_LEMAH WUNGKUK_PANJUNAN,7604,"(-6.712979999999959, 108.56854000000004, 'Panjunan, Lemahwungkuk, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_LEMAH WUNGKUK_PEGAMBIRAN,15687,"(-6.734469999999931, 108.57947000000007, 'Pegambiran, Lemahwungkuk, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_PEKALIPAN_JAGASATRU,7320,"(-6.729559999999935, 108.56572000000006, 'Jagasatru, Pekalipan, Cirebon, Jawa Barat')"
JAWA BARAT_BANDUNG_BALEENDAH_BALEENDAH,40675,"(-7.010889999999961, 107.63292000000007, 'Baleendah, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BALEENDAH_JELEKONG,15870,"(-7.022429999999929, 107.65904000000006, 'Jelekong, Baleendah, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BALEENDAH_MANGGAHANG,25041,"(-7.015079999999955, 107.64552000000003, 'Manggahang, Baleendah, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BALEENDAH_WARGAMEKAR,16514,"(-7.021409999999946, 107.67504000000008, 'Wargamekar, Baleendah, Bandung, Jawa Barat')"
JAWA BARAT_INDRAMAYU_JATIBARANG_LOBENER LOR,3735,"(-6.39409999999998, 108.30324000000007, 'Lobener Lor, Jatibarang, Jawa Barat')"
JAWA BARAT_KARAWANG_KARAWANG BARAT_ADIARSA BARAT,12835,"(-6.315809999999942, 107.30535000000003, 'Adiarsa Barat, Karawang Barat, Jawa Barat')"
JAWA BARAT_KARAWANG_KARAWANG BARAT_KARANGPAWITAN,18154,"(-6.276499999999942, 107.31197000000009, 'Karangpawitan, Karawang Barat, Jawa Barat')"
JAWA BARAT_SUKABUMI_CIKOLE_CISARUA,12552,"(-6.92280999999997, 106.94013000000007, 'Cisarua, Cikole, Sukabumi, Jawa Barat')"
JAWA BARAT_DEPOK_CIMANGGIS_HARJAMUKTI,14611,"(-6.375609999999938, 106.90294000000006, 'Harjamukti, Cimanggis, Jawa Barat')"
JAWA BARAT_BEKASI_PONDOK GEDE_JATIWARINGIN,35555,"(-6.274119999999925, 106.91889000000003, 'Jatiwaringin, Pondok Gede, Bekasi, Jawa Barat')"
JAWA BARAT_INDRAMAYU_JATIBARANG_LOBENER,3096,"(-6.39874999999995, 108.30188000000004, 'Lobener, Jatibarang, Jawa Barat')"
JAWA BARAT_INDRAMAYU_JUNTINYUAT_JUNTI KEBON,5505,"(-6.439409999999953, 108.43711000000008, 'Juntikebon, Juntinyuat, Jawa Barat')"
JAWA BARAT_BOGOR_CITEUREUP_PUSPANEGARA,11555,"(-6.479139999999973, 106.88113000000004, 'Puspanegara, Citeureup, Bogor, Jawa Barat')"
JAWA BARAT_CIAMIS_CIAMIS_BENTENG,3408,"(-7.343569999999943, 108.34791000000007, 'Benteng, Ciamis, Jawa Barat')"
JAWA BARAT_CIAMIS_CIAMIS_CIAMIS,12989,"(-7.325699999999927, 108.35340000000008, 'Ciamis, Jawa Barat')"
JAWA BARAT_CIAMIS_CIAMIS_CIGEMBOR,3462,"(-7.346149999999966, 108.36785000000003, 'Cigembor, Ciamis, Jawa Barat')"
JAWA BARAT_BANDUNG_IBUN_TANGGULUN,2746,"(-7.054409999999962, 107.76280000000008, 'Tanggulun, Ibun, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CICENDO_HUSEN SASTRANEGARA,10823,"(-6.9037799999999265, 107.57854000000003, 'Husen Sastranegara, Cicendo, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CICENDO_PAJAJARAN,16723,"(-6.894609999999943, 107.58539000000007, 'Pajajaran, Cicendo, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CICENDO_PAMOYANAN,5964,"(-6.904139999999927, 107.59504000000004, 'Pamoyanan, Cicendo, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CICENDO_SUKARAJA,15302,"(-6.891089999999963, 107.56320000000005, 'Sukaraja, Cicendo, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CIDADAP_CIUMBULEUIT,15683,"(-6.867309999999975, 107.60777000000007, 'Ciumbuleuit, Cidadap, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CIDADAP_HEGARMANAH,14782,"(-6.873899999999935, 107.60060000000004, 'Hegarmanah, Cidadap, Bandung, Jawa Barat')"
JAWA BARAT_BOGOR_PARUNG PANJANG_GINTUNG CILEJET,5318,"(-6.356249999999932, 106.53003000000007, 'Gintung Cilejet, Parung Panjang, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_PARUNG PANJANG_PARUNG PANJANG,11219,"(-6.341799999999978, 106.57051000000007, 'Parung Panjang, Bogor, Jawa Barat')"
JAWA BARAT_INDRAMAYU_KANDANGHAUR_PAREAN GIRANG,6372,"(-6.35663999999997, 108.10771000000005, 'Parean Girang, Kandanghaur, Jawa Barat')"
JAWA BARAT_KARAWANG_KARAWANG BARAT_TANJUNGPURA,14515,"(-6.285279999999943, 107.28922000000006, 'Tanjungpura, Karawang Barat, Jawa Barat')"
JAWA BARAT_KARAWANG_KARAWANG BARAT_TUNGGAKJATI,12224,"(-6.237199999999973, 107.28021000000007, 'Tunggakjati, Karawang Barat, Jawa Barat')"
JAWA BARAT_KARAWANG_KARAWANG TIMUR_ADIARSA TIMUR,9923,"(-6.3194599999999355, 107.32068000000004, 'Adiarsa Timur, Karawang Timur, Jawa Barat')"
JAWA BARAT_KARAWANG_KARAWANG TIMUR_PALUMBONSARI,16683,"(-6.29246999999998, 107.32886000000008, 'Palumbonsari, Karawang Timur, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_NANGGEWER,16259,"(-6.511629999999968, 106.84189000000003, 'Nanggewer, Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_NANGGEWER MEKAR,9523,"(-6.505349999999964, 106.84295000000009, 'Nanggewer Mekar, Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_PABUARAN,27842,"(-6.457189999999969, 106.85589000000004, 'Pabuaran, Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_KUNINGAN_CIGUGUR_SUKAMULYA,2473,"(-6.97691999999995, 108.45816000000008, 'Sukamulya, Cigugur, Jawa Barat')"
JAWA BARAT_KUNINGAN_CIGUGUR_WINDUHERANG,2540,"(-6.967119999999966, 108.47316000000006, 'Winduherang, Cigugur, Jawa Barat')"
JAWA BARAT_MAJALENGKA_TALAGA_GUNUNG MANIK,2563,"(-6.981109999999944, 108.35111000000006, 'Gunungmanik, Jawa Barat')"
JAWA BARAT_BOGOR_KEMANG_ATANG SENJAYA,1575,"(-6.542949999999962, 106.76045000000005, 'Atang Senjaya, Kemang, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_KLAPANUNGGAL_BANTARJATI,5829,"(-6.443059999999946, 106.94667000000004, 'Klapanunggal, Jawa Barat')"
JAWA BARAT_MAJALENGKA_PANYINGKIRAN_PASIR MUNCANG,2631,"(-6.819039999999973, 108.18200000000007, 'Pasirmuncang, Panyingkiran, Jawa Barat')"
JAWA BARAT_MAJALENGKA_RAJAGALUH_BABAKAN KAREO,1236,"(-6.785709999999938, 108.33973000000009, 'Rajagaluh, Jawa Barat')"
JAWA BARAT_MAJALENGKA_SUKAHAJI_BABAKAN MANJETI,3222,"(-6.815099999999973, 108.26242000000008, 'Babakan Manjeti, Sukahaji, Jawa Barat')"
JAWA BARAT_CIREBON_SUSUKAN LEBAK_KARANGMANGU,3600,"(-6.879349999999931, 108.61372000000006, 'Karangmangu, Susukanlebak, Cirebon, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI SELATAN_JAKA SETIA,25576,"(-6.266789999999958, 106.97128000000004, 'Jaka Setia, Bekasi Selatan, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI SELATAN_KAYURINGIN JAYA,33741,"(-6.239129999999932, 106.98497000000003, 'Kayuringin Jaya, Bekasi Selatan, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI SELATAN_MARGA JAYA,10457,"(-6.243539999999939, 106.99869000000007, 'Marga Jaya, Bekasi Selatan, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI SELATAN_PEKAYON JAYA,33937,"(-6.260039999999947, 106.97819000000004, 'Pekayon Jaya, Bekasi Selatan, Bekasi, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIBEUREUM_SETIARATU,5187,"(-7.342449999999928, 108.23656000000005, 'Setiaratu, Cibeureum, Tasikmalaya, Jawa Barat')"
JAWA BARAT_KUNINGAN_MANDIRANCAN_NANGGELA,2279,"(-6.798209999999926, 108.47199000000006, 'Nanggela, Mandirancan, Jawa Barat')"
JAWA BARAT_GARUT_CISURUPAN_SUKAWARGI,6472,"(-7.366769999999974, 107.76764000000009, 'Sukawargi, Cisurupan, Jawa Barat')"
JAWA BARAT_INDRAMAYU_INDRAMAYU_MARGADADI,6857,"(-6.325909999999965, 108.32416000000006, 'Margadadi, Indramayu, Jawa Barat')"
JAWA BARAT_INDRAMAYU_INDRAMAYU_PAOMAN,5652,"(-6.320649999999944, 108.32518000000005, 'Paoman, Indramayu, Jawa Barat')"
JAWA BARAT_BANDUNG_CICENDO_PASIR KALIKI,6653,"(-6.9089499999999475, 107.59990000000005, 'Pasirkaliki, Cicendo, Bandung, Jawa Barat')"
JAWA BARAT_KARAWANG_KARAWANG TIMUR_KARAWANG WETAN,21105,"(-6.300669999999968, 107.31264000000004, 'Karawang Wetan, Karawang Timur, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_KARADENAN,18093,"(-6.515889999999956, 106.80803000000009, 'Karadenan, Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_BANDUNG_REGOL_CIATEUL,5382,"(-6.934229999999957, 107.60640000000006, 'Ciateul, Regol, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_REGOL_CIGERELENG,8550,"(-6.939399999999978, 107.60932000000008, 'Cigereleng, Regol, Bandung, Jawa Barat')"
JAWA BARAT_BEKASI_MUSTIKA JAYA_CIMUNING,21710,"(-6.324069999999949, 107.02209000000005, 'Cimuning, Mustikajaya, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_MUSTIKA JAYA_MUSTIKAJAYA,40046,"(-6.292409999999961, 107.03130000000004, 'Mustika Jaya, Mustikajaya, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_MUSTIKA JAYA_MUSTIKASARI,20787,"(-6.290429999999958, 107.01203000000004, 'Mustika Sari, Mustikajaya, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_MUSTIKA JAYA_PADURENAN,27052,"(-6.315089999999941, 106.99856000000005, 'Padurenan, Mustikajaya, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_PONDOK GEDE_JATIBENING,23232,"(-6.260209999999972, 106.95021000000008, 'Jatibening, Pondok Gede, Bekasi, Jawa Barat')"
JAWA BARAT_INDRAMAYU_KROYA_TEMIYANGSARI,4930,"(-6.4912499999999795, 108.01756000000006, 'Temiyangsari, Kroya, Jawa Barat')"
JAWA BARAT_INDRAMAYU_LELEA_TELAGASARI,2612,"(-6.4648599999999306, 108.23144000000008, 'Telagasari, Lelea, Jawa Barat')"
JAWA BARAT_BOGOR_BOJONG GEDE_PABUARAN,22825,"(-6.453399999999931, 106.79900000000004, 'Pabuaran, Bojong Gede, Bogor, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI BARAT_BINTARA,39064,"(-6.231419999999957, 106.96056000000004, 'Bintara, Bekasi Barat, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI BARAT_BINTARA JAYA,22321,"(-6.23906999999997, 106.94808000000006, 'Bintara Jaya, Bekasi Barat, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_RAWA LUMBU_BOJONG RAWALUMBU,42636,"(-6.2835399999999595, 106.99151000000006, 'Bojong Rawalumbu, Rawalumbu, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_RAWA LUMBU_PENGASINAN,35369,"(-6.268379999999979, 107.00666000000007, 'Pengasinan, Rawalumbu, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_RAWA LUMBU_SEPANJANG JAYA,23902,"(-6.264529999999979, 106.99834000000004, 'Sepanjang Jaya, Rawalumbu, Bekasi, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR BARAT_BALUMBANG JAYA,8213,"(-6.556339999999977, 106.73699000000005, 'SD Balumbang Jaya')"
JAWA BARAT_BOGOR_BOGOR BARAT_BUBULAK,10594,"(-6.5643799999999715, 106.75637000000006, 'Bubulak, Bogor Barat, Bogor, Jawa Barat')"
JAWA BARAT_INDRAMAYU_JUNTINYUAT_JUNTI WEDEN,3362,"(-6.438809999999933, 108.42641000000003, 'Juntiweden, Juntinyuat, Jawa Barat')"
JAWA BARAT_INDRAMAYU_JUNTINYUAT_SAMBIMAYA,3183,"(-6.439239999999927, 108.39514000000008, 'Sambimaya, Juntinyuat, Jawa Barat')"
JAWA BARAT_INDRAMAYU_JUNTINYUAT_SEGERAN LOR,8758,"(-6.455659999999966, 108.40153000000004, 'Segeran, Juntinyuat, Jawa Barat')"
JAWA BARAT_BANDUNG_BOJONGLOA KALER_BABAKAN TAROGONG,19917,"(-6.927039999999977, 107.59101000000004, 'Babakan Tarogong, Bojongloa Kaler, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BOJONGLOA KALER_JAMIKA,18670,"(-6.9221299999999815, 107.58762000000007, 'Jamika, Bojongloa Kaler, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BOJONGLOA KALER_KOPO,20309,"(-6.943759999999941, 107.59090000000003, 'Kopo, Bojongloa Kaler, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BOJONGLOA KALER_SUKA ASIH,12766,"(-6.932799999999929, 107.58990000000006, 'Suka Asih, Bojongloa Kaler, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BOJONGLOA KIDUL_CIBADUYUT,7538,"(-6.952459999999974, 107.59340000000009, 'Cibaduyut, Bojongloa Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BOJONGLOA KIDUL_CIBADUYUT KIDUL,5869,"(-6.959859999999935, 107.59090000000003, 'Cibaduyut Kidul, Bojongloa Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BOJONGLOA KIDUL_CIBADUYUT WETAN,5306,"(-6.959119999999928, 107.59353000000004, 'Cibaduyut Wetan, Bojongloa Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BOJONGLOA KIDUL_KEBON LEGA,17087,"(-6.947619999999972, 107.59703000000007, 'Kebon Lega, Bojongloa Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BOJONGLOA KIDUL_MEKARWANGI,6601,"(-6.958139999999958, 107.60521000000006, 'Mekar Wangi, Bojongloa Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BOJONGLOA KIDUL_SITUSAEUR,14621,"(-6.9404799999999796, 107.59673000000004, 'Situsaeur, Bojongloa Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_PAKANSARI,19816,"(-6.485069999999951, 106.84350000000006, 'Pakansari, Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_PONDOK RAJEG,9297,"(-6.462129999999945, 106.82490000000007, 'Pondok Rajeg, Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_SUKAHATI,14706,"(-6.492559999999969, 106.81344000000007, 'Sukahati, Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_TENGAH,7847,"(-6.481139999999925, 106.82360000000006, 'Tengah, Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_KARAWANG_TELUKJAMBE BARAT_KARANGLIGAR,3930,"(-6.321549999999945, 107.25585000000007, 'Karangligar, Telukjambe Barat, Jawa Barat')"
JAWA BARAT_BANDUNG_BANDUNG KIDUL_BATUNUNGGAL,12907,"(-6.9523099999999545, 107.63119000000006, 'Batununggal, Bandung Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_REGOL_CISEUREUH,10981,"(-6.947779999999966, 107.61282000000006, 'Ciseureuh, Regol, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_REGOL_PASIRLUYU,11212,"(-6.946019999999976, 107.61941000000007, 'Pasirluyu, Regol, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_REGOL_PUNGKUR,5798,"(-6.92930999999993, 107.60827000000006, 'Pungkur, Regol, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_SUKAJADI_CIPEDES,19416,"(-6.8820199999999545, 107.59376000000009, 'Cipedes, Sukajadi, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_SUKAJADI_PASTEUR,12473,"(-6.893839999999955, 107.59966000000009, 'Pasteur, Sukajadi, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_SUKAJADI_SUKABUNGAH,14699,"(-6.892969999999934, 107.59343000000007, 'Sukabungah, Sukajadi, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_SUKAJADI_SUKAGALIH,12031,"(-6.886569999999949, 107.58630000000005, 'Sukagalih, Sukajadi, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_SUKAJADI_SUKAWARNA,9580,"(-6.886299999999949, 107.57828000000006, 'Sukawarna, Sukajadi, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_SUKASARI_GEGERKALONG,15400,"(-6.865099999999927, 107.58845000000008, 'Gegerkalong, Sukasari, Bandung, Jawa Barat')"
JAWA BARAT_DEPOK_CILODONG_KALIMULYA,11404,"(-6.4340499999999565, 106.82173000000006, 'Kalimulya, Cilodong, Jawa Barat')"
JAWA BARAT_DEPOK_CILODONG_SUKAMAJU,44989,"(-6.407879999999977, 106.85585000000003, 'Sukamaju, Cilodong, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_INDIHIANG_SIRNAGALIH,4863,"(-7.291979999999967, 108.20601000000005, 'Sirnagalih, Indihiang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_INDIHIANG_SUKAMAJU KALER,8004,"(-7.278329999999926, 108.18962000000005, 'Sukamajukaler, Indihiang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_INDIHIANG_SUKAMAJU KIDUL,6019,"(-7.286769999999933, 108.18736000000007, 'Sukamajukidul, Indihiang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_CIBEUTI,7310,"(-7.388309999999933, 108.18131000000005, 'Cibeuti, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_CILAMAJANG,5511,"(-7.3738199999999665, 108.19652000000008, 'Cilamajang, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_GUNUNG GEDE,5661,"(-7.399699999999939, 108.21183000000008, 'Gununggede, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_KARANG ANYAR,6946,"(-7.369819999999947, 108.18435000000005, 'Karanganyar, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_KARSAMENAK,11106,"(-7.379169999999931, 108.20985000000007, 'Karsamenak, Kawalu, Tasikmalaya, Jawa Barat')"
